#Batch CD-search tool	NIH/NLM/NCBI											
#cdsid	QM3-qcdsearch-1D4DCAEC1C1DDBC2-317EA3B81877B768											
#datatype	hitsStandard Results											
#status	0											
#Start time	2019-06-07T14:37:35	Run time	0:00:06:46									
#status	success											
												
Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily		
Q#246 - >GFJPDDAG_04259 hypothetical protein	non-specific	273734	35	112	0	775051	36	2049	TIGR01652	ATPase-Plipid	N	cl36945
Q#246 - >GFJPDDAG_04259 hypothetical protein	superfamily	273734	35	112	0	775051	36	2049	cl36945	ATPase-Plipid superfamily	N	 - 
Q#247 - >GFJPDDAG_04260 hypothetical protein	non-specific	338200	456	522	0	400404	42	2351	pfam11981	DUF3482	NC	cl13424
Q#247 - >GFJPDDAG_04260 hypothetical protein	superfamily	338200	456	522	0	400404	42	2351	cl13424	DUF3482 superfamily	NC	 - 
Q#248 - >GFJPDDAG_04261 hypothetical protein	non-specific	238733	156	341	5	2.20E-34	129	86	cd01456	vWA_ywmD_type	 - 	cl00057
Q#248 - >GFJPDDAG_04261 hypothetical protein	superfamily	350880	156	341	5	2.20E-34	129	86	cl00057	vWFA superfamily	 - 	 - 
Q#248 - >GFJPDDAG_04261 hypothetical protein	specific	214621	160	345	1	3.00E-16	77	4948	smart00327	VWA	 - 	cl00057
Q#248 - >GFJPDDAG_04261 hypothetical protein	specific	333833	160	343	2	3.90E-13	70	7671	pfam00092	VWA	 - 	cl00057
Q#248 - >GFJPDDAG_04261 hypothetical protein	non-specific	240420	236	310	0	592332	35	7101	PTZ00441	PTZ00441	C	cl25523
Q#248 - >GFJPDDAG_04261 hypothetical protein	superfamily	240420	236	310	0	592332	35	7101	cl25523	PTZ00441 superfamily	C	 - 
Q#250 - >GFJPDDAG_04263 hypothetical protein	non-specific	227300	96	245	4	6.60E-10	62	3541	COG4965	TadB	NC	cl19503
Q#250 - >GFJPDDAG_04263 hypothetical protein	superfamily	354429	96	245	4	6.60E-10	62	3541	cl19503	TadB superfamily	NC	 - 
Q#250 - >GFJPDDAG_04263 hypothetical protein	specific	334103	165	284	7	3.40E-09	55	4102	pfam00482	T2SSF	 - 	cl37992
Q#250 - >GFJPDDAG_04263 hypothetical protein	superfamily	334103	165	284	7	3.40E-09	55	4102	cl37992	T2SSF superfamily	 - 	 - 
Q#251 - >GFJPDDAG_04264 hypothetical protein	non-specific	227300	105	308	9	2.50E-31	119	749	COG4965	TadB	N	cl19503
Q#251 - >GFJPDDAG_04264 hypothetical protein	superfamily	354429	105	308	9	2.50E-31	119	749	cl19503	TadB superfamily	N	 - 
Q#251 - >GFJPDDAG_04264 hypothetical protein	specific	334103	141	262	3	7.20E-12	64	655	pfam00482	T2SSF	 - 	cl37992
Q#251 - >GFJPDDAG_04264 hypothetical protein	superfamily	334103	141	262	3	7.20E-12	64	655	cl37992	T2SSF superfamily	 - 	 - 
Q#251 - >GFJPDDAG_04264 hypothetical protein	non-specific	236082	106	208	0	114707	37	913	PRK07737	fliD	N	cl35609
Q#251 - >GFJPDDAG_04264 hypothetical protein	superfamily	236082	106	208	0	114707	37	913	cl35609	fliD superfamily	N	 - 
Q#252 - >GFJPDDAG_04265 Putative conjugal transfer protein	specific	227297	47	406	5	1.20E-144	417	515	COG4962	CpaF	 - 	cl21455
Q#252 - >GFJPDDAG_04265 Putative conjugal transfer protein	superfamily	354812	47	406	5	1.20E-144	417	515	cl21455	P-loop_NTPase superfamily	 - 	 - 
Q#252 - >GFJPDDAG_04265 Putative conjugal transfer protein	non-specific	200328	78	381	4	3.00E-110	330	835	TIGR03819	heli_sec_ATPase	 - 	cl25403
Q#252 - >GFJPDDAG_04265 Putative conjugal transfer protein	superfamily	355390	78	381	4	3.00E-110	330	835	cl25403	ABC_ATPase superfamily	 - 	 - 
Q#252 - >GFJPDDAG_04265 Putative conjugal transfer protein	specific	238550	195	380	2	7.10E-81	251	434	cd01130	VirB11-like_ATPase	 - 	cl28885
Q#252 - >GFJPDDAG_04265 Putative conjugal transfer protein	superfamily	355771	195	380	2	7.10E-81	251	434	cl28885	RecA-like_NTPases superfamily	 - 	 - 
Q#252 - >GFJPDDAG_04265 Putative conjugal transfer protein	non-specific	306855	92	371	3	8.80E-72	231	8	pfam00437	T2SSE	 - 	cl21455
Q#252 - >GFJPDDAG_04265 Putative conjugal transfer protein	non-specific	184381	95	385	4	8.00E-61	204	22	PRK13900	PRK13900	 - 	cl25403
Q#252 - >GFJPDDAG_04265 Putative conjugal transfer protein	specific	214640	221	303	7	7.00E-06	45	4421	smart00382	AAA	C	cl30760
Q#252 - >GFJPDDAG_04265 Putative conjugal transfer protein	superfamily	357636	221	303	7	7.00E-06	45	4421	cl30760	AAA superfamily	C	 - 
Q#253 - >GFJPDDAG_04266 Septum site-determining protein MinD	non-specific	349765	141	377	6	4.80E-30	117	379	cd03111	CpaE-like	 - 	cl28913
Q#253 - >GFJPDDAG_04266 Septum site-determining protein MinD	superfamily	355789	141	377	6	4.80E-30	117	379	cl28913	SIMIBI superfamily	 - 	 - 
Q#253 - >GFJPDDAG_04266 Septum site-determining protein MinD	non-specific	227298	139	368	2	8.80E-17	85	161	COG4963	CpaE	N	cl34849
Q#253 - >GFJPDDAG_04266 Septum site-determining protein MinD	superfamily	227298	139	368	2	8.80E-17	85	161	cl34849	CpaE superfamily	N	 - 
Q#253 - >GFJPDDAG_04266 Septum site-determining protein MinD	non-specific	131024	142	364	5	1.90E-07	53	1959	TIGR01969	minD_arch	 - 	cl31155
Q#253 - >GFJPDDAG_04266 Septum site-determining protein MinD	superfamily	131024	142	364	5	1.90E-07	53	1959	cl31155	minD_arch superfamily	 - 	 - 
Q#253 - >GFJPDDAG_04266 Septum site-determining protein MinD	non-specific	182756	147	359	1	4.80E-05	49	1675	PRK10818	PRK10818	 - 	cl32587
Q#253 - >GFJPDDAG_04266 Septum site-determining protein MinD	superfamily	182756	147	359	1	4.80E-05	49	1675	cl32587	PRK10818 superfamily	 - 	 - 
Q#253 - >GFJPDDAG_04266 Septum site-determining protein MinD	non-specific	333815	7	104	4	3.00E-06	45	2177	pfam00072	Response_reg	 - 	cl19078
Q#253 - >GFJPDDAG_04266 Septum site-determining protein MinD	superfamily	354377	7	104	4	3.00E-06	45	2177	cl19078	REC superfamily	 - 	 - 
Q#253 - >GFJPDDAG_04266 Septum site-determining protein MinD	non-specific	334629	147	359	2	5.80E-04	44	6424	pfam01656	CbiA	 - 	cl38052
Q#253 - >GFJPDDAG_04266 Septum site-determining protein MinD	superfamily	334629	147	359	2	5.80E-04	44	6424	cl38052	CbiA superfamily	 - 	 - 
Q#253 - >GFJPDDAG_04266 Septum site-determining protein MinD	non-specific	238088	9	113	0	105295	41	221	cd00156	REC	 - 	cl19078
Q#253 - >GFJPDDAG_04266 Septum site-determining protein MinD	non-specific	225114	1	113	0	956762	40	758	COG2204	AtoC	C	cl34427
Q#253 - >GFJPDDAG_04266 Septum site-determining protein MinD	superfamily	225114	1	113	0	956762	40	758	cl34427	AtoC superfamily	C	 - 
Q#254 - >GFJPDDAG_04267 hypothetical protein	non-specific	274472	40	184	6	9.60E-10	60	7474	TIGR03177	pilus_cpaB	C	cl37231
Q#254 - >GFJPDDAG_04267 hypothetical protein	superfamily	274472	40	184	6	9.60E-10	60	7474	cl37231	pilus_cpaB superfamily	C	 - 
Q#254 - >GFJPDDAG_04267 hypothetical protein	specific	212159	42	102	2	7.50E-07	49	7	cd11614	SAF_CpaB_FlgA_like	 - 	cl00555
Q#254 - >GFJPDDAG_04267 hypothetical protein	superfamily	351151	42	102	2	7.50E-07	49	7	cl00555	SAF superfamily	 - 	 - 
Q#254 - >GFJPDDAG_04267 hypothetical protein	specific	214862	42	103	1	6.90E-04	41	3978	smart00858	SAF	 - 	cl00555
Q#254 - >GFJPDDAG_04267 hypothetical protein	specific	337148	43	103	0	6685	36	7703	pfam08666	SAF	 - 	cl00555
Q#254 - >GFJPDDAG_04267 hypothetical protein	non-specific	226268	39	142	0	803061	33	561	COG3745	CpaB	C	cl34665
Q#254 - >GFJPDDAG_04267 hypothetical protein	superfamily	226268	39	142	0	803061	33	561	cl34665	CpaB superfamily	C	 - 
Q#255 - >GFJPDDAG_04268 Alanine--tRNA ligase	non-specific	237551	2	397	6	0.00E+00	263	251	PRK13902	alaS	N	cl36310
Q#255 - >GFJPDDAG_04268 Alanine--tRNA ligase	superfamily	237551	2	397	6	0.00E+00	263	251	cl36310	alaS superfamily	N	 - 
Q#255 - >GFJPDDAG_04268 Alanine--tRNA ligase	non-specific	274722	2	397	2	7.70E-70	239	896	TIGR03683	A-tRNA_syn_arch	N	cl37312
Q#255 - >GFJPDDAG_04268 Alanine--tRNA ligase	superfamily	274722	2	397	2	7.70E-70	239	896	cl37312	A-tRNA_syn_arch superfamily	N	 - 
Q#255 - >GFJPDDAG_04268 Alanine--tRNA ligase	specific	225427	1	231	3	5.30E-65	210	305	COG2872	AlaX	 - 	cl34506
Q#255 - >GFJPDDAG_04268 Alanine--tRNA ligase	superfamily	225427	1	231	3	5.30E-65	210	305	cl34506	AlaX superfamily	 - 	 - 
Q#255 - >GFJPDDAG_04268 Alanine--tRNA ligase	specific	334871	261	397	9	5.30E-11	62	561	pfam02272	DHHA1	 - 	cl03510
Q#255 - >GFJPDDAG_04268 Alanine--tRNA ligase	superfamily	334871	261	397	9	5.30E-11	62	561	cl03510	DHHA1 superfamily	 - 	 - 
Q#255 - >GFJPDDAG_04268 Alanine--tRNA ligase	specific	197931	182	222	1	6.90E-10	58	1626	smart00863	tRNA_SAD	 - 	cl29236
Q#255 - >GFJPDDAG_04268 Alanine--tRNA ligase	superfamily	356112	182	222	1	6.90E-10	58	1626	cl29236	tRNA_SAD superfamily	 - 	 - 
Q#257 - >GFJPDDAG_04270 60 kDa chaperonin	specific	234573	1	524	0	983	846	PRK00013	groEL	 - 	cl02777	
Q#257 - >GFJPDDAG_04270 60 kDa chaperonin	superfamily	351886	1	524	0	983	846	cl02777	chaperonin_like superfamily	 - 	 - 	
Q#257 - >GFJPDDAG_04270 60 kDa chaperonin	specific	239460	3	520	0	881	23	cd03344	GroEL	 - 	cl02777	
Q#257 - >GFJPDDAG_04270 60 kDa chaperonin	specific	274089	2	523	0	852	74	TIGR02348	GroEL	 - 	cl02777	
Q#257 - >GFJPDDAG_04270 60 kDa chaperonin	specific	223535	1	524	0	568	776	COG0459	GroEL	 - 	cl28952	
Q#257 - >GFJPDDAG_04270 60 kDa chaperonin	superfamily	223535	1	524	0	568	776	cl28952	GroEL superfamily	 - 	 - 	
Q#257 - >GFJPDDAG_04270 60 kDa chaperonin	specific	333853	22	521	2	2.00E-94	298	723	pfam00118	Cpn60_TCP1	 - 	cl28953
Q#257 - >GFJPDDAG_04270 60 kDa chaperonin	superfamily	333853	22	521	2	2.00E-94	298	723	cl28953	Cpn60_TCP1 superfamily	 - 	 - 
Q#258 - >GFJPDDAG_04271 10 kDa chaperonin	specific	178988	1	94	1	6.60E-52	161	437	PRK00364	groES	 - 	cl09113
Q#258 - >GFJPDDAG_04271 10 kDa chaperonin	superfamily	352934	1	94	1	6.60E-52	161	437	cl09113	cpn10 superfamily	 - 	 - 
Q#258 - >GFJPDDAG_04271 10 kDa chaperonin	specific	197951	1	93	6	4.40E-49	152	2	smart00883	Cpn10	 - 	cl09113
Q#258 - >GFJPDDAG_04271 10 kDa chaperonin	specific	223312	1	95	5	1.70E-47	147	327	COG0234	GroES	 - 	cl09113
Q#258 - >GFJPDDAG_04271 10 kDa chaperonin	specific	238197	1	93	5	1.20E-42	134	942	cd00320	cpn10	 - 	cl09113
Q#258 - >GFJPDDAG_04271 10 kDa chaperonin	specific	333893	1	93	1	8.60E-38	125	775	pfam00166	Cpn10	 - 	cl09113
Q#259 - >GFJPDDAG_04272 hypothetical protein	specific	334954	140	215	1	3.00E-15	71	775	pfam02517	Abi	 - 	cl00558
Q#259 - >GFJPDDAG_04272 hypothetical protein	superfamily	351152	140	215	1	3.00E-15	71	775	cl00558	Abi superfamily	 - 	 - 
Q#259 - >GFJPDDAG_04272 hypothetical protein	specific	224185	49	219	4	8.50E-10	60	3151	COG1266	YdiL	N	cl29138
Q#259 - >GFJPDDAG_04272 hypothetical protein	superfamily	224185	49	219	4	8.50E-10	60	3151	cl29138	YdiL superfamily	N	 - 
Q#259 - >GFJPDDAG_04272 hypothetical protein	non-specific	163100	136	214	0	481976	37	739	TIGR03008	pepcterm_CAAX	N	cl00558
Q#260 - >GFJPDDAG_04273 hypothetical protein	specific	316654	18	55	4	2.00E-07	41	4241	pfam14146	DUF4305	 - 	cl16655
Q#260 - >GFJPDDAG_04273 hypothetical protein	superfamily	316654	18	55	4	2.00E-07	41	4241	cl16655	DUF4305 superfamily	 - 	 - 
Q#261 - >GFJPDDAG_04274 Sec-independent protein translocase protein TatCy	specific	223876	4	241	2	5.40E-70	219	29	COG0805	TatC	 - 	cl00521
Q#261 - >GFJPDDAG_04274 Sec-independent protein translocase protein TatCy	superfamily	351132	4	241	2	5.40E-70	219	29	cl00521	TatC superfamily	 - 	 - 
Q#261 - >GFJPDDAG_04274 Sec-independent protein translocase protein TatCy	specific	334307	15	223	5	3.00E-65	203	802	pfam00902	TatC	 - 	cl00521
Q#261 - >GFJPDDAG_04274 Sec-independent protein translocase protein TatCy	specific	273355	15	228	2	2.10E-61	194	745	TIGR00945	tatC	 - 	cl00521
Q#261 - >GFJPDDAG_04274 Sec-independent protein translocase protein TatCy	non-specific	182840	16	253	2	8.00E-27	108	302	PRK10921	PRK10921	 - 	cl00521
Q#262 - >GFJPDDAG_04275 Sec-independent protein translocase protein TatAy	specific	237837	2	56	4	3.00E-24	86	9467	PRK14861	tatA	 - 	cl00788
Q#262 - >GFJPDDAG_04275 Sec-independent protein translocase protein TatAy	superfamily	294511	2	56	4	3.00E-24	86	9467	cl00788	MttA_Hcf106 superfamily	 - 	 - 
Q#262 - >GFJPDDAG_04275 Sec-independent protein translocase protein TatAy	specific	280560	2	54	3	1.00E-18	69	2407	pfam02416	MttA_Hcf106	 - 	cl00788
Q#262 - >GFJPDDAG_04275 Sec-independent protein translocase protein TatAy	specific	224739	1	49	4	9.10E-13	59	7059	COG1826	TatA	C	cl00788
Q#262 - >GFJPDDAG_04275 Sec-independent protein translocase protein TatAy	specific	273605	1	47	3	6.50E-12	56	4624	TIGR01411	tatAE	 - 	cl00788
Q#263 - >GFJPDDAG_04276 Redox-sensing transcriptional repressor Rex	specific	235486	4	213	2	3.90E-119	340	17	PRK05472	PRK05472	 - 	cl35328
Q#263 - >GFJPDDAG_04276 Redox-sensing transcriptional repressor Rex	superfamily	235486	4	213	2	3.90E-119	340	17	cl35328	PRK05472 superfamily	 - 	 - 
Q#263 - >GFJPDDAG_04276 Redox-sensing transcriptional repressor Rex	specific	225221	2	212	4	1.70E-114	326	958	COG2344	Rex	 - 	cl34460
Q#263 - >GFJPDDAG_04276 Redox-sensing transcriptional repressor Rex	superfamily	225221	2	212	4	1.70E-114	326	958	cl34460	Rex superfamily	 - 	 - 
Q#263 - >GFJPDDAG_04276 Redox-sensing transcriptional repressor Rex	specific	308320	83	181	7	1.80E-29	106	505	pfam02629	CoA_binding	 - 	cl21454
Q#263 - >GFJPDDAG_04276 Redox-sensing transcriptional repressor Rex	superfamily	354811	83	181	7	1.80E-29	106	505	cl21454	NADB_Rossmann superfamily	 - 	 - 
Q#263 - >GFJPDDAG_04276 Redox-sensing transcriptional repressor Rex	specific	214881	82	180	7	1.00E-21	83	3282	smart00881	CoA_binding	 - 	cl21454
Q#264 - >GFJPDDAG_04277 putative ABC transporter ATP-binding protein YheS	specific	223562	1	540	0	654	705	COG0488	Uup	 - 	cl33905	
Q#264 - >GFJPDDAG_04277 putative ABC transporter ATP-binding protein YheS	superfamily	223562	1	540	0	654	705	cl33905	Uup superfamily	 - 	 - 	
Q#264 - >GFJPDDAG_04277 putative ABC transporter ATP-binding protein YheS	non-specific	274744	2	535	4	9.60E-116	360	405	TIGR03719	ABC_ABC_ChvD	 - 	cl37321
Q#264 - >GFJPDDAG_04277 putative ABC transporter ATP-binding protein YheS	superfamily	274744	2	535	4	9.60E-116	360	405	cl37321	ABC_ABC_ChvD superfamily	 - 	 - 
Q#264 - >GFJPDDAG_04277 putative ABC transporter ATP-binding protein YheS	non-specific	236861	1	631	3	5.70E-111	350	405	PRK11147	PRK11147	 - 	cl35997
Q#264 - >GFJPDDAG_04277 putative ABC transporter ATP-binding protein YheS	superfamily	236861	1	631	3	5.70E-111	350	405	cl35997	PRK11147 superfamily	 - 	 - 
Q#264 - >GFJPDDAG_04277 putative ABC transporter ATP-binding protein YheS	specific	213188	331	522	1	7.60E-55	187	656	cd03221	ABCF_EF-3	 - 	cl25403
Q#264 - >GFJPDDAG_04277 putative ABC transporter ATP-binding protein YheS	superfamily	355390	331	522	1	7.60E-55	187	656	cl25403	ABC_ATPase superfamily	 - 	 - 
Q#264 - >GFJPDDAG_04277 putative ABC transporter ATP-binding protein YheS	specific	338520	234	318	5	2.00E-27	104	59	pfam12848	ABC_tran_Xtn	 - 	cl14896
Q#264 - >GFJPDDAG_04277 putative ABC transporter ATP-binding protein YheS	superfamily	338520	234	318	5	2.00E-27	104	59	cl14896	ABC_tran_Xtn superfamily	 - 	 - 
Q#264 - >GFJPDDAG_04277 putative ABC transporter ATP-binding protein YheS	specific	339695	574	631	3	7.00E-10	56	3155	pfam16326	ABC_tran_CTD	 - 	cl21462
Q#264 - >GFJPDDAG_04277 putative ABC transporter ATP-binding protein YheS	superfamily	354818	574	631	3	7.00E-10	56	3155	cl21462	bZIP superfamily	 - 	 - 
Q#264 - >GFJPDDAG_04277 putative ABC transporter ATP-binding protein YheS	specific	214640	356	514	1	3.80E-08	56	9981	smart00382	AAA	 - 	cl30760
Q#264 - >GFJPDDAG_04277 putative ABC transporter ATP-binding protein YheS	superfamily	357636	356	514	1	3.80E-08	56	9981	cl30760	AAA superfamily	 - 	 - 
Q#264 - >GFJPDDAG_04277 putative ABC transporter ATP-binding protein YheS	non-specific	165432	566	632	0	596579	37	783	PHA03161	PHA03161	NC	cl27943
Q#264 - >GFJPDDAG_04277 putative ABC transporter ATP-binding protein YheS	superfamily	332764	566	632	0	596579	37	783	cl27943	DUF848 superfamily	NC	 - 
Q#264 - >GFJPDDAG_04277 putative ABC transporter ATP-binding protein YheS	non-specific	274009	524	630	0	480783	36	5843	TIGR02169	SMC_prok_A	NC	cl37070
Q#264 - >GFJPDDAG_04277 putative ABC transporter ATP-binding protein YheS	superfamily	274009	524	630	0	480783	36	5843	cl37070	SMC_prok_A superfamily	NC	 - 
Q#265 - >GFJPDDAG_04278 tRNA N6-adenosine threonylcarbamoyltransferase	specific	236585	7	338	0	551	212	PRK09604	PRK09604	 - 	cl29543	
Q#265 - >GFJPDDAG_04278 tRNA N6-adenosine threonylcarbamoyltransferase	superfamily	236585	7	338	0	551	212	cl29543	PRK09604 superfamily	 - 	 - 	
Q#265 - >GFJPDDAG_04278 tRNA N6-adenosine threonylcarbamoyltransferase	specific	274748	7	318	0	537	9	TIGR03723	T6A_TsaD_YgjD	 - 	cl29542	
Q#265 - >GFJPDDAG_04278 tRNA N6-adenosine threonylcarbamoyltransferase	superfamily	274748	7	318	0	537	9	cl29542	T6A_TsaD_YgjD superfamily	 - 	 - 	
Q#265 - >GFJPDDAG_04278 tRNA N6-adenosine threonylcarbamoyltransferase	specific	223607	5	336	1	2.50E-176	495	171	COG0533	TsaD	 - 	cl29544
Q#265 - >GFJPDDAG_04278 tRNA N6-adenosine threonylcarbamoyltransferase	superfamily	223607	5	336	1	2.50E-176	495	171	cl29544	TsaD superfamily	 - 	 - 
Q#265 - >GFJPDDAG_04278 tRNA N6-adenosine threonylcarbamoyltransferase	specific	334266	27	311	5	3.00E-120	346	671	pfam00814	Peptidase_M22	 - 	cl29545
Q#265 - >GFJPDDAG_04278 tRNA N6-adenosine threonylcarbamoyltransferase	superfamily	334266	27	311	5	3.00E-120	346	671	cl29545	Peptidase_M22 superfamily	 - 	 - 
Q#265 - >GFJPDDAG_04278 tRNA N6-adenosine threonylcarbamoyltransferase	non-specific	212671	232	308	0	204722	39	568	cd10229	HSPA12_like_NBD	N	cl17037
Q#265 - >GFJPDDAG_04278 tRNA N6-adenosine threonylcarbamoyltransferase	superfamily	354300	232	308	0	204722	39	568	cl17037	NBD_sugar-kinase_HSP70_actin superfamily	N	 - 
Q#266 - >GFJPDDAG_04279 Ribosomal-protein-alanine acetyltransferase	non-specific	273701	10	141	1	1.40E-52	165	195	TIGR01575	rimI	 - 	cl36933
Q#266 - >GFJPDDAG_04279 Ribosomal-protein-alanine acetyltransferase	superfamily	273701	10	141	1	1.40E-52	165	195	cl36933	rimI superfamily	 - 	 - 
Q#266 - >GFJPDDAG_04279 Ribosomal-protein-alanine acetyltransferase	specific	223532	1	145	8	0.00E+00	121	642	COG0456	RimI	 - 	cl33885
Q#266 - >GFJPDDAG_04279 Ribosomal-protein-alanine acetyltransferase	superfamily	223532	1	145	8	0.00E+00	121	642	cl33885	RimI superfamily	 - 	 - 
Q#266 - >GFJPDDAG_04279 Ribosomal-protein-alanine acetyltransferase	non-specific	181904	1	141	1	7.20E-28	104	241	PRK09491	rimI	 - 	cl17182
Q#266 - >GFJPDDAG_04279 Ribosomal-protein-alanine acetyltransferase	superfamily	354318	1	141	1	7.20E-28	104	241	cl17182	NAT_SF superfamily	 - 	 - 
Q#266 - >GFJPDDAG_04279 Ribosomal-protein-alanine acetyltransferase	specific	334159	11	121	6	8.00E-23	86	8077	pfam00583	Acetyltransf_1	 - 	cl17182
Q#266 - >GFJPDDAG_04279 Ribosomal-protein-alanine acetyltransferase	specific	173926	43	104	5	1.80E-12	59	5968	cd04301	NAT_SF	 - 	cl17182
Q#267 - >GFJPDDAG_04280 tRNA threonylcarbamoyladenosine biosynthesis protein TsaB	specific	274750	3	216	6	5.20E-69	212	513	TIGR03725	T6A_YeaZ	 - 	cl22532
Q#267 - >GFJPDDAG_04280 tRNA threonylcarbamoyladenosine biosynthesis protein TsaB	superfamily	304575	3	216	6	5.20E-69	212	513	cl22532	Carbam_trans_N superfamily	 - 	 - 
Q#267 - >GFJPDDAG_04280 tRNA threonylcarbamoyladenosine biosynthesis protein TsaB	specific	224135	1	224	3	8.00E-64	198	801	COG1214	TsaB	 - 	cl22532
Q#267 - >GFJPDDAG_04280 tRNA threonylcarbamoyladenosine biosynthesis protein TsaB	specific	334266	33	224	2	5.90E-39	139	48	pfam00814	Peptidase_M22	 - 	cl29545
Q#267 - >GFJPDDAG_04280 tRNA threonylcarbamoyladenosine biosynthesis protein TsaB	superfamily	334266	33	224	2	5.90E-39	139	48	cl29545	Peptidase_M22 superfamily	 - 	 - 
Q#267 - >GFJPDDAG_04280 tRNA threonylcarbamoyladenosine biosynthesis protein TsaB	non-specific	236585	1	93	1	3.90E-10	62	7793	PRK09604	PRK09604	C	cl29543
Q#267 - >GFJPDDAG_04280 tRNA threonylcarbamoyladenosine biosynthesis protein TsaB	superfamily	236585	1	93	1	3.90E-10	62	7793	cl29543	PRK09604 superfamily	C	 - 
Q#268 - >GFJPDDAG_04281 tRNA threonylcarbamoyladenosine biosynthesis protein TsaE	specific	223873	4	148	4	7.00E-65	195	159	COG0802	TsaE	 - 	cl21455
Q#268 - >GFJPDDAG_04281 tRNA threonylcarbamoyladenosine biosynthesis protein TsaE	superfamily	354812	4	148	4	7.00E-65	195	159	cl21455	P-loop_NTPase superfamily	 - 	 - 
Q#268 - >GFJPDDAG_04281 tRNA threonylcarbamoyladenosine biosynthesis protein TsaE	specific	334911	8	129	5	9.00E-64	191	479	pfam02367	TsaE	 - 	cl21455
Q#268 - >GFJPDDAG_04281 tRNA threonylcarbamoyladenosine biosynthesis protein TsaE	non-specific	129254	11	128	3	7.80E-44	144	122	TIGR00150	T6A_YjeE	 - 	cl21455
Q#268 - >GFJPDDAG_04281 tRNA threonylcarbamoyladenosine biosynthesis protein TsaE	non-specific	182615	11	140	5	7.30E-22	87	8989	PRK10646	PRK10646	 - 	cl21455
Q#268 - >GFJPDDAG_04281 tRNA threonylcarbamoyladenosine biosynthesis protein TsaE	non-specific	238836	30	54	0	221442	33	7405	cd01673	dNK	C	cl17190
Q#268 - >GFJPDDAG_04281 tRNA threonylcarbamoyladenosine biosynthesis protein TsaE	superfamily	354320	30	54	0	221442	33	7405	cl17190	NK superfamily	C	 - 
Q#270 - >GFJPDDAG_04286 hypothetical protein	specific	334159	41	133	3	1.00E-13	64	8513	pfam00583	Acetyltransf_1	 - 	cl17182
Q#270 - >GFJPDDAG_04286 hypothetical protein	superfamily	354318	41	133	3	1.00E-13	64	8513	cl17182	NAT_SF superfamily	 - 	 - 
Q#270 - >GFJPDDAG_04286 hypothetical protein	specific	173926	63	122	1	6.80E-10	56	13	cd04301	NAT_SF	 - 	cl17182
Q#270 - >GFJPDDAG_04286 hypothetical protein	specific	223532	1	162	5	7.00E-07	49	6099	COG0456	RimI	 - 	cl33885
Q#270 - >GFJPDDAG_04286 hypothetical protein	superfamily	223532	1	162	5	7.00E-07	49	6099	cl33885	RimI superfamily	 - 	 - 
Q#270 - >GFJPDDAG_04286 hypothetical protein	non-specific	273701	51	128	7	8.50E-06	45	3975	TIGR01575	rimI	C	cl36933
Q#270 - >GFJPDDAG_04286 hypothetical protein	superfamily	273701	51	128	7	8.50E-06	45	3975	cl36933	rimI superfamily	C	 - 
Q#270 - >GFJPDDAG_04286 hypothetical protein	non-specific	236088	1	115	0	527486	35	1701	PRK07757	PRK07757	C	cl17182
Q#270 - >GFJPDDAG_04286 hypothetical protein	non-specific	338211	4	60	0	651813	32	5699	pfam12006	DUF3500	N	cl13443
Q#270 - >GFJPDDAG_04286 hypothetical protein	superfamily	338211	4	60	0	651813	32	5699	cl13443	DUF3500 superfamily	N	 - 
Q#271 - >GFJPDDAG_04287 hypothetical protein	specific	223769	10	290	2	8.70E-17	82	9921	COG0697	RhaT	 - 	cl34009
Q#271 - >GFJPDDAG_04287 hypothetical protein	superfamily	223769	10	290	2	8.70E-17	82	9921	cl34009	RhaT superfamily	 - 	 - 
Q#271 - >GFJPDDAG_04287 hypothetical protein	non-specific	273359	32	281	7	1.70E-11	64	252	TIGR00950	2A78	 - 	cl36778
Q#271 - >GFJPDDAG_04287 hypothetical protein	superfamily	273359	32	281	7	1.70E-11	64	252	cl36778	2A78 superfamily	 - 	 - 
Q#271 - >GFJPDDAG_04287 hypothetical protein	specific	307170	150	286	1	8.10E-08	54	8938	pfam00892	EamA	 - 	cl23754
Q#271 - >GFJPDDAG_04287 hypothetical protein	superfamily	329058	150	286	1	8.10E-08	54	8938	cl23754	EamA superfamily	 - 	 - 
Q#272 - >GFJPDDAG_04288 hypothetical protein	specific	224204	5	229	6	9.80E-52	169	809	COG1285	SapB	 - 	cl34217
Q#272 - >GFJPDDAG_04288 hypothetical protein	superfamily	224204	5	229	6	9.80E-52	169	809	cl34217	SapB superfamily	 - 	 - 
Q#272 - >GFJPDDAG_04288 hypothetical protein	specific	334885	12	142	7	3.00E-40	132	987	pfam02308	MgtC	 - 	cl15893
Q#272 - >GFJPDDAG_04288 hypothetical protein	superfamily	353991	12	142	7	3.00E-40	132	987	cl15893	MgtC superfamily	 - 	 - 
Q#272 - >GFJPDDAG_04288 hypothetical protein	non-specific	182178	8	227	2	7.80E-27	106	33	PRK09977	PRK09977	 - 	cl32445
Q#272 - >GFJPDDAG_04288 hypothetical protein	superfamily	182178	8	227	2	7.80E-27	106	33	cl32445	PRK09977 superfamily	 - 	 - 
Q#273 - >GFJPDDAG_04289 PTS system fructose-specific EIIABC component	non-specific	236740	168	622	1	2.30E-139	420	687	PRK10712	PRK10712	 - 	cl35942
